Role,Trending Insights,Average Salary (INR),How many job filled last year,Job filled in current year till December,How many employees removed last year,Role Sustainability,Trending Status
ERP Software Developer,"SAP ERP, Oracle ERP, Cloud ERP",1200000,350,290,40,10 years,Trending
Test Automation Architect,"Selenium, TestNG, CI/CD",1800000,420,380,35,10+ years,Trending
Application Security Engineer,"OWASP, SAST, DAST",1500000,410,370,30,8+ years,Trending
Decentralized App (DApp) Developer,"Solidity, Ethereum, Blockchain",1400000,200,190,25,7+ years,Trending
IoT Cloud Integration Specialist,"AWS IoT, Azure IoT Hub, MQTT",1300000,320,270,20,8+ years,Trending
Ontology Specialist,"OWL, RDF, Semantic Web",1450000,100,90,10,6+ years,Not Trending
Data Analyst,"Python, SQL, Tableau",800000,4000,3800,120,10+ years,Trending
Red Team Specialist,"Penetration Testing, Metasploit, Kali Linux",1600000,290,250,20,9+ years,Trending
Disaster Recovery Architect,"BCP, DRP, VMware SRM",2000000,150,130,15,10+ years,Not Trending
DevOps Engineer,"Docker, Kubernetes, CI/CD",1400000,3500,3300,80,10+ years,Trending
Cybersecurity Analyst,"SIEM, Threat Analysis, Splunk",1200000,2700,2500,50,9+ years,Trending
VPN Specialist,"OpenVPN, IPSec, MPLS",1000000,200,190,10,8+ years,Not Trending
Python Developer,"Flask, Django, Pandas",1000000,5000,4700,110,10+ years,Trending
IT Automation Developer,"Ansible, Jenkins, Scripting",1200000,800,750,30,9+ years,Trending
Multi-Cloud Architect,"AWS, Azure, GCP",1800000,500,450,20,10+ years,Trending
AI Data Engineer,"PySpark, TensorFlow, Data Pipelines",1500000,400,350,25,10+ years,Trending
Site Reliability Engineer (SRE),"Prometheus, Grafana, Kubernetes",1700000,700,650,40,10+ years,Trending
Network Optimization Specialist,"SD-WAN, QoS, Traffic Shaping",1400000,230,200,15,8+ years,Not Trending
AI Robotics Engineer,"ROS, Computer Vision, Deep Learning",1500000,180,160,20,7+ years,Trending
CRM Software Developer,"Salesforce, Dynamics 365, Zoho CRM",1100000,1000,900,30,9+ years,Trending
Angular Developer,"AngularJS, TypeScript, REST APIs",900000,3000,2800,90,10+ years,Trending
Semantic Search Developer,"Elasticsearch, NLP, Vector Databases",1400000,100,90,15,7+ years,Not Trending
Cloud Cost Optimization Specialist,"FinOps, Spot Instances, Billing Management",1500000,120,110,10,8+ years,Trending
Firewall Specialist,"Palo Alto, Fortinet, Cisco ASA",1200000,300,270,15,10+ years,Not Trending
Data Scientist,"Machine Learning, Python, Statistics",1500000,4500,4200,140,10+ years,Trending
AI/ML Systems Integrator,"TensorFlow, PyTorch, Deployment",1600000,500,450,30,9+ years,Trending
Automation Test Engineer,"Selenium, JUnit, Postman",1000000,3000,2800,100,10+ years,Trending
Technical Lead,"Agile, Team Management, Full Stack",2000000,800,750,20,10+ years,Not Trending
Vue.js Developer,"Vue.js, JavaScript, Webpack",1000000,2200,2100,50,10+ years,Trending
Test Data Management Specialist,"Data Masking, TDM Tools",1300000,150,140,10,9+ years,Not Trending
Cloud Solutions Architect,"AWS, Azure, Terraform",2000000,600,550,15,10+ years,Trending
Secure Network Architect,"VPN, IPSec, Zero Trust",1700000,250,230,15,10+ years,Not Trending
